ID,Project,BAC,rCEAC,BACn,rCEACn,rTEACn,PD,AD,TP,TPn,dTPn,PV,EV,AC,WS,dWS,ddWS,WP,dWP,ddWP,ACn,dACn,TSn,TCn,CVn,SVn,dCVn,dSVn,CPI,SPI,CR,AVn,shift,num,den,I,ES,ESn,dESn,SVtn,dSVtn,SPIt,CRt,ED,cPF,sPF,F1,F2,F3,fCEACn,fTEACn
0,1,180759,191065,1,1.057015142,1.15,20,23,1,0.05,0.05,5262,5262,5262,0.029110584,0.029110584,0.029110584,0.029110584,0.029110584,0.029110584,0.029110584,0.029110584,1,1,0,0,0,0,1,1,1,0,2,0,4172,0,2,0.1,0.1,0.05,-0.05,2,2,0.05,0.94453265,0.818181818,0.537516804,0.279997123,0.26968505,1,0.5
1,1,180759,191065,1,1.057015142,1.15,20,23,2,0.1,0.05,5262,5262,5262,0.029110584,0,-0.029110584,0.029110584,0,-0.029110584,0.029110584,0,1,1,0,0,0,0,1,1,1,0,2,0,4172,0,2,0.1,0,0,0.05,1,1,0.1,0.94453265,0.857142857,0.537516804,0.309107707,0.327906218,1,1
2,1,180759,191065,1,1.057015142,1.15,20,23,3,0.15,0.05,9434,9434,10156,0.052191039,0.023080455,0.023080455,0.052191039,0.023080455,0.023080455,0.056185308,0.027074724,1,1,-0.003994269,0,-0.003994269,0,0.928909019,1,0.928909019,-0.003994269,3,0,1502,0,3,0.15,0.05,0,0,1,0.928909019,0.15,0.947023089,0.85,0.514436349,0.286027252,0.275715179,1.076531694,1
3,1,180759,191065,1,1.057015142,1.15,20,23,4,0.2,0.05,10936,10936,11657,0.060500445,0.008309406,-0.014771049,0.060500445,0.008309406,-0.014771049,0.064489182,0.008303874,1,1,-0.003988736,0,5.53E-06,0,0.938148752,1,0.938148752,-0.003988736,4,0,5936,0,4,0.2,0.05,0,0,1,0.938148752,0.2,0.946574289,0.842105263,0.506126943,0.3007983,0.313566683,1.065929042,1
4,1,180759,191065,1,1.057015142,1.15,20,23,5,0.25,0.05,16872,16872,17593,0.093339751,0.032839305,0.024529899,0.093339751,0.032839305,0.024529899,0.097328487,0.032839305,1,1,-0.003988736,0,0,0,0.959017791,1,0.959017791,-0.003988736,5,0,21479,0,5,0.25,0.05,0,0,1,0.959017791,0.25,0.944746126,0.833333333,0.473287637,0.276268402,0.274265735,1.042733523,1
5,1,180759,191065,1,1.057015142,1.15,20,23,6,0.3,0.05,38351,17622,18594,0.212166476,0.118826725,0.08598742,0.097488922,0.004149171,-0.028690134,0.102866247,0.00553776,-0.953109171,-20.32613169,-0.005377326,-0.114677554,-0.001388589,-0.114677554,0.947725073,0.459492582,0.43547264,-0.12005488,5,750,21479,0.034917827,5.034917827,0.251745891,0.001745891,-0.048254109,0.048254109,0.839152971,0.79528631,0.137847775,0.945880757,0.880298951,0.469138466,0.304958536,0.327485768,1.055158325,1.19167784
6,1,180759,191065,1,1.057015142,1.15,20,23,7,0.35,0.05,43183,22455,23427,0.238898201,0.026731726,-0.092094999,0.12422618,0.026737258,0.022588087,0.129603505,0.026737258,-0.953106909,-20.32510288,-0.005377326,-0.114672022,0,5.53E-06,0.958509412,0.519996295,0.498421343,-0.120049347,5,5583,21479,0.259928302,5.259928302,0.262996415,0.011250524,-0.087003585,0.038749476,0.751418329,0.720241541,0.181998703,0.9443205,0.921254481,0.442401208,0.282370449,0.276207547,1.043286573,1.330816619
7,1,180759,191065,1,1.057015142,1.15,20,23,8,0.4,0.05,43434,22705,23927,0.240286791,0.001388589,-0.025343136,0.125609237,0.001383057,-0.025354201,0.132369619,0.002766114,-0.941048772,-15.96317512,-0.006760383,-0.114677554,-0.001383057,-5.53E-06,0.948927989,0.522747157,0.496049408,-0.121437937,5,5833,21479,0.271567578,5.271567578,0.263578379,0.000581964,-0.136421621,0.049418036,0.658945947,0.625292253,0.209098863,0.945649703,0.981895495,0.441018151,0.30772465,0.324149835,1.053820744,1.517575158
8,1,180759,191065,1,1.057015142,1.15,20,23,9,0.45,0.05,43434,22705,23927,0.240286791,0,-0.001388589,0.125609237,0,-0.001383057,0.132369619,0,-0.941048772,-15.96317512,-0.006760383,-0.114677554,0,0,0.948927989,0.522747157,0.496049408,-0.121437937,5,5833,21479,0.271567578,5.271567578,0.263578379,0,-0.186421621,0.05,0.585729731,0.555815336,0.23523622,0.945649703,1.052030887,0.441018151,0.309107707,0.300178691,1.053820744,1.707272053
9,1,180759,191065,1,1.057015142,1.15,20,23,10,0.5,0.05,44685,23956,25178,0.247207608,0.006920817,0.006920817,0.132530054,0.006920817,0.006920817,0.139290436,0.006920817,-0.941048772,-15.96317512,-0.006760383,-0.114677554,0,0,0.951465565,0.536108314,0.5100886,-0.121437937,5,7084,21479,0.329810513,5.329810513,0.266490526,0.002912147,-0.233509474,0.047087853,0.532981051,0.507113117,0.268054157,0.945239832,1.128476114,0.434097334,0.30218689,0.291874817,1.051010185,1.87623931
